Date,2x LETF Change,3x LETF Change
2025-05-12,6.52691,9.77314
2025-05-09,-0.17435,-0.2543
2025-05-08,1.16893,1.70776
2025-05-07,0.85526,1.28007
2025-05-06,-1.56782,-2.33458
2025-05-05,-1.27572,-1.93548
2025-05-02,2.91669,4.34711
2025-05-01,1.26293,1.86439
2025-04-30,0.2629,0.4258
2025-04-29,1.15059,1.70727
2025-04-28,0.10613,0.16246
2025-04-25,1.42516,2.12099
2025-04-24,4.04894,6.04676
2025-04-23,3.29755,4.96755
2025-04-22,5.02526,7.51084
2025-04-21,-4.73421,-7.09057
2025-04-17,0.21331,0.28851
2025-04-16,-4.49154,-6.74955
2025-04-15,-0.37212,-0.529
2025-04-14,1.61729,2.36689
2025-04-11,3.55693,5.32673
2025-04-10,-7.07703,-10.36974
2025-04-09,19.12215,28.49869
2025-04-08,-3.14745,-4.73245
2025-04-07,-0.47813,-0.73267
2025-04-04,-11.93809,-17.96396
2025-04-03,-9.71369,-14.54215
2025-04-02,1.32378,1.99597
2025-04-01,0.71886,1.11035
2025-03-31,1.13081,1.65217
2025-03-28,-3.99993,-6.00422
2025-03-27,-0.66413,-1.0247
2025-03-26,-2.45344,-3.60731
2025-03-25,0.32795,0.45595
2025-03-24,3.50883,5.25398
2025-03-21,0.11691,0.171
2025-03-20,-0.45867,-0.65964
2025-03-19,2.14677,3.2105
2025-03-18,-2.1492,-3.22162
2025-03-17,1.31392,1.91871
2025-03-14,4.21909,6.34147
2025-03-13,-2.76667,-4.17255
2025-03-12,0.97724,1.44332
2025-03-11,-1.55039,-2.30169
2025-03-10,-5.37546,-8.07336
2025-03-07,1.0813,1.6091
2025-03-06,-3.57187,-5.36459
2025-03-05,2.20176,3.31757
2025-03-04,-2.44755,-3.69325
2025-03-03,-3.51594,-5.28028
2025-02-28,3.12942,4.69388
2025-02-27,-3.1887,-4.78679
2025-02-26,0.02542,0.01741
2025-02-25,-0.96169,-1.43418
2025-02-24,-0.99178,-1.51082
2025-02-21,-3.4554,-5.19912
2025-02-20,-0.85588,-1.29076
2025-02-19,0.46564,0.69241
2025-02-18,0.50518,0.74046
2025-02-14,-0.03597,-0.07302
2025-02-13,2.07382,3.0991
2025-02-12,-0.56279,-0.8232
2025-02-11,0.07154,0.08204
2025-02-10,1.34534,2.01781
2025-02-07,-1.91442,-2.90428
2025-02-06,0.70641,1.06045
2025-02-05,0.77174,1.14487
2025-02-04,1.41029,2.13324
2025-02-03,-1.50447,-2.29711
2025-01-31,-1.05081,-1.58194
2025-01-30,1.04509,1.55696
2025-01-29,-0.94634,-1.43435
2025-01-28,1.79769,2.72129
2025-01-27,-2.91395,-4.39896
2025-01-24,-0.60248,-0.91607
2025-01-23,1.05278,1.56681
2025-01-22,1.19526,1.81293
2025-01-21,1.74547,2.59914
2025-01-17,1.94479,2.88653
2025-01-16,-0.43104,-0.66023
2025-01-15,3.65681,5.49068
2025-01-14,0.22423,0.31641
2025-01-13,0.29157,0.43468
2025-01-10,-3.09174,-4.65588
2025-01-08,0.274,0.4063
2025-01-07,-2.23793,-3.3559
2025-01-06,1.1031,1.64454
2025-01-03,2.48445,3.71284
2025-01-02,-0.47674,-0.70017
2024-12-31,-0.84473,-1.31382
2024-12-30,-2.19023,-3.25014
2024-12-27,-2.22227,-3.3779
2024-12-26,-0.07041,-0.13075
2024-12-24,2.17465,3.24667
2024-12-23,1.12417,1.86736
2024-12-20,2.18393,3.19444
2024-12-19,-0.17067,-0.29413
2024-12-18,-5.93326,-8.88383
2024-12-17,-0.79815,-1.18766
2024-12-16,0.78081,1.14608
2024-12-13,-0.04529,-0.06991
2024-12-12,-1.08705,-1.65263
2024-12-11,1.59821,2.41828
2024-12-10,-0.61438,-0.91863
2024-12-09,-1.18188,-1.82837
2024-12-06,0.44109,0.6835
2024-12-05,-0.36607,-0.56661
2024-12-04,1.2008,1.78794
2024-12-03,0.07628,0.10851
2024-12-02,0.45518,0.72376
2024-11-29,1.11886,1.62755
2024-11-27,-0.75468,-1.18347
2024-11-26,1.11514,1.69918
2024-11-25,0.60186,0.87633
2024-11-22,0.6344,0.95479
2024-11-21,1.07852,1.61783
2024-11-20,0.00223,-0.01843
2024-11-19,0.75779,1.15289
2024-11-18,0.79437,1.18542
2024-11-15,-2.65535,-4.01579
2024-11-14,-1.22455,-1.81472
2024-11-13,0.0501,0.05536
2024-11-12,-0.59571,-0.88455
2024-11-11,0.18929,0.2854
2024-11-08,0.74169,1.06442
2024-11-07,1.48603,2.20407
2024-11-06,5.02796,7.55782
2024-11-05,2.42905,3.64849
2024-11-04,-0.54786,-0.86278
2024-11-01,0.7776,1.14433
2024-10-31,-3.77314,-5.60334
2024-10-30,-0.66421,-1.01976
2024-10-29,0.30686,0.45261
2024-10-28,0.52867,0.76372
2024-10-25,-0.1091,-0.18337
2024-10-24,0.41094,0.60829
2024-10-23,-1.85133,-2.78564
2024-10-22,-0.11547,-0.17613
2024-10-21,-0.37068,-0.57
2024-10-18,0.74635,1.10933
2024-10-17,-0.03729,-0.07751
2024-10-16,0.90265,1.36865
2024-10-15,-1.53258,-2.29204
2024-10-14,1.55975,2.31356
2024-10-11,1.14287,1.68855
2024-10-10,-0.39564,-0.60952
2024-10-09,1.40287,2.10995
2024-10-08,1.91386,2.87811
2024-10-07,-1.91485,-2.90741
2024-10-04,1.78824,2.66401
2024-10-03,-0.35952,-0.5371
2024-10-02,0.03118,0.0284
2024-10-01,-1.86293,-2.82051
2024-09-30,0.8281,1.25612
2024-09-27,-0.30851,-0.47123
2024-09-26,0.80251,1.20278
2024-09-25,-0.59848,-0.84965
2024-09-24,0.50193,0.72612
2024-09-23,0.52986,0.8082
2024-09-20,-0.43264,-0.68029
2024-09-19,3.39424,5.07949
2024-09-18,-0.60166,-0.90408
2024-09-17,0.0447,0.05311
2024-09-16,0.27196,0.40145
2024-09-13,1.04867,1.56727
2024-09-12,1.51437,2.21489
2024-09-11,2.09969,3.16315
2024-09-10,0.87826,1.3168
2024-09-09,2.29159,3.45727
2024-09-06,-3.45944,-5.23185
2024-09-05,-0.59343,-0.92726
2024-09-04,-0.35265,-0.51127
2024-09-03,-4.21707,-6.35318
2024-08-30,1.94702,2.92591
2024-08-29,-0.01286,-0.03538
2024-08-28,-1.20683,-1.82688
2024-08-27,0.30378,0.4638
2024-08-26,-0.61739,-0.97024
2024-08-23,2.21016,3.33624
2024-08-22,-1.7579,-2.70205
2024-08-21,0.80611,1.2477
2024-08-20,-0.39537,-0.61783
2024-08-19,1.93043,2.90434
2024-08-16,0.37912,0.5376
2024-08-15,3.29187,4.89485
2024-08-14,0.72476,1.1137
2024-08-13,3.33939,5.02019
2024-08-12,0.02209,0.01338
2024-08-09,0.89185,1.3265
2024-08-08,4.59476,6.88073
2024-08-07,-1.52342,-2.3414
2024-08-06,2.00841,3.06459
2024-08-05,-5.97631,-9.01396
2024-08-02,-3.734,-5.61108
2024-08-01,-2.76865,-4.13509
2024-07-31,3.16536,4.72433
2024-07-30,-1.01802,-1.52619
2024-07-29,0.1346,0.20926
2024-07-26,2.17955,3.24233
2024-07-25,-1.05123,-1.58203
2024-07-24,-4.62553,-6.97065
2024-07-23,-0.3341,-0.50697
2024-07-22,2.12319,3.20598
2024-07-19,-1.45193,-2.22525
2024-07-18,-1.57688,-2.38045
2024-07-17,-2.80188,-4.20824
2024-07-16,1.24158,1.87872
2024-07-15,0.56053,0.84176
2024-07-12,1.07161,1.54712
2024-07-11,-1.75624,-2.64828
2024-07-10,2.03235,3.06247
2024-07-09,0.14425,0.1971
2024-07-08,0.18826,0.27243
2024-07-05,1.0783,1.583
2024-07-03,0.96094,1.45788
2024-07-02,1.24014,1.82641
2024-07-01,0.49532,0.76999
2024-06-28,-0.84406,-1.29153
2024-06-27,0.18358,0.23917
2024-06-26,0.05308,0.14513
2024-06-25,0.76361,1.14178
2024-06-24,-0.63021,-0.93985
2024-06-21,-0.34901,-0.55512
2024-06-20,-0.53173,-0.79346
2024-06-18,0.4758,0.6976
2024-06-17,1.54353,2.29974
2024-06-14,-0.0553,-0.14572
2024-06-13,0.44047,0.6682
2024-06-12,1.67393,2.51956
2024-06-11,0.51391,0.77802
2024-06-10,0.52604,0.76277
2024-06-07,-0.24876,-0.38362
2024-06-06,-0.04988,-0.08969
2024-06-05,2.35458,3.52268
2024-06-04,0.27784,0.42866
2024-06-03,0.20249,0.32178
2024-05-31,1.60436,2.33847
2024-05-30,-1.21552,-1.79638
2024-05-29,-1.48072,-2.24505
2024-05-28,0.0445,0.03706
2024-05-24,1.37835,2.08039
2024-05-23,-1.54315,-2.34887
2024-05-22,-0.56656,-0.8474
2024-05-21,0.48487,0.72414
2024-05-20,0.1809,0.26003
2024-05-17,0.23585,0.33428
2024-05-16,-0.43709,-0.67203
2024-05-15,2.37905,3.53816
2024-05-14,0.96419,1.45692
2024-05-13,-0.05543,-0.10491
2024-05-10,0.32877,0.50866
2024-05-09,1.01685,1.47874
2024-05-08,-0.01664,-0.03675
