Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
05/12/2025,ProShares Ultra S&P500,SSO,87.462,82.1032,6.52691,5.3588,62950,5505732900
05/09/2025,ProShares Ultra S&P500,SSO,82.1032,82.2466,-0.17435,-0.1434,62950,5168396440
05/08/2025,ProShares Ultra S&P500,SSO,82.2466,81.2963,1.16893,0.9503,62950,5177423470
05/07/2025,ProShares Ultra S&P500,SSO,81.2963,80.6069,0.85526,0.6894,60300,4902166890
05/06/2025,ProShares Ultra S&P500,SSO,80.6069,81.8908,-1.56782,-1.2839,60300,4860596070
05/05/2025,ProShares Ultra S&P500,SSO,81.8908,82.949,-1.27572,-1.0582,60300,4938015240
05/02/2025,ProShares Ultra S&P500,SSO,82.949,80.5982,2.91669,2.3508,60300,5001824700
05/01/2025,ProShares Ultra S&P500,SSO,80.5982,79.593,1.26293,1.0052,60300,4860071460
04/30/2025,ProShares Ultra S&P500,SSO,79.593,79.3843,0.26290,0.2087,61300,4879050900
04/29/2025,ProShares Ultra S&P500,SSO,79.3843,78.4813,1.15059,0.903,61300,4866257590
04/28/2025,ProShares Ultra S&P500,SSO,78.4813,78.3981,0.10613,0.0832,61300,4810903690
04/25/2025,ProShares Ultra S&P500,SSO,78.3981,77.2965,1.42516,1.1016,61000,4782284100
04/24/2025,ProShares Ultra S&P500,SSO,77.2965,74.2886,4.04894,3.0079,61000,4715086500
04/23/2025,ProShares Ultra S&P500,SSO,74.2886,71.9171,3.29755,2.3715,60250,4475888150
04/22/2025,ProShares Ultra S&P500,SSO,71.9171,68.476,5.02526,3.4411,60200,4329409420
04/21/2025,ProShares Ultra S&P500,SSO,68.476,71.8789,-4.73421,-3.4029,60250,4125679000
04/17/2025,ProShares Ultra S&P500,SSO,71.8789,71.7259,0.21331,0.153,60300,4334297670
04/16/2025,ProShares Ultra S&P500,SSO,71.7259,75.099,-4.49154,-3.3731,60300,4325071770
04/15/2025,ProShares Ultra S&P500,SSO,75.099,75.3795,-0.37212,-0.2805,60050,4509694950
04/14/2025,ProShares Ultra S&P500,SSO,75.3795,74.1798,1.61729,1.1997,60100,4530307950
04/11/2025,ProShares Ultra S&P500,SSO,74.1798,71.6319,3.55693,2.5479,60300,4473041940
04/10/2025,ProShares Ultra S&P500,SSO,71.6319,77.0874,-7.07703,-5.4555,60450,4330148355
04/09/2025,ProShares Ultra S&P500,SSO,77.0874,64.7129,19.12215,12.3745,60600,4671496440
04/08/2025,ProShares Ultra S&P500,SSO,64.7129,66.8159,-3.14745,-2.103,55850,3614215465
04/07/2025,ProShares Ultra S&P500,SSO,66.8159,67.1369,-0.47813,-0.321,56200,3755053580
04/04/2025,ProShares Ultra S&P500,SSO,67.1369,76.2383,-11.93809,-9.1014,55750,3742882175
04/03/2025,ProShares Ultra S&P500,SSO,76.2383,84.4406,-9.71369,-8.2023,55750,4250285225
04/02/2025,ProShares Ultra S&P500,SSO,84.4406,83.3374,1.32378,1.1032,55100,4652677060
04/01/2025,ProShares Ultra S&P500,SSO,83.3374,82.7426,0.71886,0.5948,55350,4612725090
03/31/2025,ProShares Ultra S&P500,SSO,82.7426,81.8174,1.13081,0.9252,55500,4592214300
03/28/2025,ProShares Ultra S&P500,SSO,81.8174,85.2264,-3.99993,-3.409,57550,4708591370
03/27/2025,ProShares Ultra S&P500,SSO,85.2264,85.7962,-0.66413,-0.5698,57750,4921824600
03/26/2025,ProShares Ultra S&P500,SSO,85.7962,87.9541,-2.45344,-2.1579,58000,4976179600
03/25/2025,ProShares Ultra S&P500,SSO,87.9541,87.6666,0.32795,0.2875,58000,5101337800
03/24/2025,ProShares Ultra S&P500,SSO,87.6666,84.6948,3.50883,2.9718,58000,5084662800
03/21/2025,ProShares Ultra S&P500,SSO,84.6948,84.5959,0.11691,0.0989,58000,4912298400
03/20/2025,ProShares Ultra S&P500,SSO,84.5959,84.9857,-0.45867,-0.3898,58000,4906562200
03/19/2025,ProShares Ultra S&P500,SSO,84.9857,83.1996,2.14677,1.7861,56500,4801692050
03/18/2025,ProShares Ultra S&P500,SSO,83.1996,85.027,-2.14920,-1.8274,55000,4575978000
03/17/2025,ProShares Ultra S&P500,SSO,85.027,83.9243,1.31392,1.1027,54950,4672233650
03/14/2025,ProShares Ultra S&P500,SSO,83.9243,80.5268,4.21909,3.3975,54200,4548697060
03/13/2025,ProShares Ultra S&P500,SSO,80.5268,82.8181,-2.76667,-2.2913,54400,4380657920
03/12/2025,ProShares Ultra S&P500,SSO,82.8181,82.0166,0.97724,0.8015,54300,4497022830
03/11/2025,ProShares Ultra S&P500,SSO,82.0166,83.3082,-1.55039,-1.2916,54500,4469904700
03/10/2025,ProShares Ultra S&P500,SSO,83.3082,88.0408,-5.37546,-4.7326,54500,4540296900
03/07/2025,ProShares Ultra S&P500,SSO,88.0408,87.099,1.08130,0.9418,54950,4837841960
03/06/2025,ProShares Ultra S&P500,SSO,87.099,90.3253,-3.57187,-3.2263,55300,4816574700
03/05/2025,ProShares Ultra S&P500,SSO,90.3253,88.3794,2.20176,1.9459,55250,4990472825
03/04/2025,ProShares Ultra S&P500,SSO,88.3794,90.5968,-2.44755,-2.2174,62300,5506036620
03/03/2025,ProShares Ultra S&P500,SSO,90.5968,93.8982,-3.51594,-3.3014,64000,5798195200
02/28/2025,ProShares Ultra S&P500,SSO,93.8982,91.0489,3.12942,2.8493,63950,6004789890
02/27/2025,ProShares Ultra S&P500,SSO,91.0489,94.0478,-3.18870,-2.9989,63950,5822577155
02/26/2025,ProShares Ultra S&P500,SSO,94.0478,94.0239,0.02542,0.0239,63950,6014356810
02/25/2025,ProShares Ultra S&P500,SSO,94.0239,94.9369,-0.96169,-0.913,63650,5984621235
02/24/2025,ProShares Ultra S&P500,SSO,94.9369,95.8879,-0.99178,-0.951,63650,6042733685
02/21/2025,ProShares Ultra S&P500,SSO,95.8879,99.3198,-3.45540,-3.4319,62150,5959432985
02/20/2025,ProShares Ultra S&P500,SSO,99.3198,100.1772,-0.85588,-0.8574,61550,6113133690
02/19/2025,ProShares Ultra S&P500,SSO,100.1772,99.7129,0.46564,0.4643,61450,6155888940
02/18/2025,ProShares Ultra S&P500,SSO,99.7129,99.2117,0.50518,0.5012,58750,5858132875
02/14/2025,ProShares Ultra S&P500,SSO,99.2117,99.2474,-0.03597,-0.0357,58750,5828687375
02/13/2025,ProShares Ultra S&P500,SSO,99.2474,97.231,2.07382,2.0164,58050,5761311570
02/12/2025,ProShares Ultra S&P500,SSO,97.231,97.7813,-0.56279,-0.5503,58050,5644259550
02/11/2025,ProShares Ultra S&P500,SSO,97.7813,97.7114,0.07154,0.0699,58150,5685982595
02/10/2025,ProShares Ultra S&P500,SSO,97.7114,96.4143,1.34534,1.2971,58200,5686803480
02/07/2025,ProShares Ultra S&P500,SSO,96.4143,98.2961,-1.91442,-1.8818,58200,5611312260
02/06/2025,ProShares Ultra S&P500,SSO,98.2961,97.6066,0.70641,0.6895,58100,5711003410
02/05/2025,ProShares Ultra S&P500,SSO,97.6066,96.8591,0.77174,0.7475,58000,5661182800
02/04/2025,ProShares Ultra S&P500,SSO,96.8591,95.5121,1.41029,1.347,58000,5617827800
02/03/2025,ProShares Ultra S&P500,SSO,95.5121,96.971,-1.50447,-1.4589,58000,5539701800
01/31/2025,ProShares Ultra S&P500,SSO,96.971,98.0008,-1.05081,-1.0298,58000,5624318000
01/30/2025,ProShares Ultra S&P500,SSO,98.0008,96.9872,1.04509,1.0136,58100,5693846480
01/29/2025,ProShares Ultra S&P500,SSO,96.9872,97.9138,-0.94634,-0.9266,58150,5639805680
01/28/2025,ProShares Ultra S&P500,SSO,97.9138,96.1847,1.79769,1.7291,58500,5727957300
