run,beta,alpha_ann
0,0.91737,1.32494%
1,0.89481,1.04933%
2,0.78789,3.44891%
3,0.84971,2.27985%
4,0.87583,2.38356%
5,0.89680,1.60272%
6,0.82557,2.34294%
7,0.84999,2.09494%
8,0.94074,1.31823%
9,0.84025,1.61817%
10,0.93279,0.30188%
11,0.79126,1.40742%
12,0.85299,1.13797%
13,0.90762,2.03156%
14,0.89594,1.39493%
15,0.80230,2.13784%
16,0.81194,2.97348%
17,0.83572,1.51017%
18,0.83356,3.70546%
19,0.84546,3.80123%
20,0.88957,2.70577%
21,0.85951,3.21750%
22,0.95185,0.50108%
23,0.87721,1.75212%
24,0.86744,1.21598%
