run,beta,alpha_ann
0,0.91767,1.66659%
1,0.89513,1.40764%
2,0.78825,3.78779%
3,0.84997,2.60263%
4,0.87610,2.72349%
5,0.89713,1.93943%
6,0.82599,2.67679%
7,0.85032,2.41380%
8,0.94112,1.64836%
9,0.84059,1.94625%
10,0.93296,0.62107%
11,0.79158,1.70450%
12,0.85329,1.46368%
13,0.90782,2.37300%
14,0.89610,1.69909%
15,0.80265,2.47484%
16,0.81226,3.30769%
17,0.83604,1.84240%
18,0.83384,4.04728%
19,0.84586,4.13836%
20,0.88989,3.05724%
21,0.88989,3.05724%
22,0.85986,3.54697%
23,0.95207,0.81572%
24,0.87750,2.07195%
25,0.86782,1.55815%
