run,beta,alpha_ann
0,0.91650,0.35569%
1,0.89391,0.03389%
2,0.78685,2.48747%
3,0.84895,1.36363%
4,0.87507,1.41962%
5,0.89589,0.64800%
6,0.82439,1.39611%
7,0.84903,1.19079%
8,0.93968,0.38257%
9,0.83928,0.68752%
10,0.93232,-0.60355%
11,0.79034,0.56516%
12,0.85216,0.21364%
13,0.90703,1.06305%
14,0.89550,0.53173%
15,0.80132,1.18206%
16,0.81104,2.02574%
17,0.83481,0.56771%
18,0.83277,2.73592%
19,0.84434,2.84532%
20,0.88866,1.71031%
21,0.85853,2.28341%
22,0.95125,-0.39109%
23,0.87641,0.84544%
24,0.86636,0.24604%
