run,beta,alpha_ann
0,0.91671,0.59710%
1,0.89413,0.28664%
2,0.78711,2.72694%
3,0.84913,1.59190%
4,0.87525,1.65964%
5,0.89611,0.88572%
6,0.82468,1.63189%
7,0.84927,1.41592%
8,0.93994,0.61548%
9,0.83952,0.91931%
10,0.93243,-0.37805%
11,0.79056,0.77487%
12,0.85236,0.44391%
13,0.90717,1.30425%
14,0.89560,0.74678%
15,0.80156,1.42007%
16,0.81126,2.26173%
17,0.83504,0.80243%
18,0.83296,2.97737%
19,0.84462,3.08334%
20,0.88888,1.95802%
21,0.85877,2.51599%
22,0.95140,-0.16893%
23,0.87661,1.07118%
24,0.86663,0.48751%
